Title	Text
Bloody Nose, Empty Pockets review – bittersweet bar-room endgame	It’s the “last day in paradise” for Las Vegas dive bar the Roaring ’20s, which will shut permanently after the evening’s festivities. Over the next 18 hours, as the booze begins to flow, there are several slurred flirtations and a fight. Inevitably, at least one person takes their top off. The film is directed by Bill and Turner Ross (known for their documentaries 45365 and Tchoupitoulas), and shot fly-on-the-wall style. But elements of this riotous hybrid documentary are staged. The Roaring ’20s is actually in New Orleans, not Vegas, with characters street-cast, and playing fictionalised versions of themselves. Yet the sense of the watering hole as a haven for lost souls – not to mention the threat of gentrification to civic space – couldn’t be more vérité. Inside the bar, red fairylights give a rose-tinted glow. The film’s mood is bittersweet, never more so than in a scene that shows the revellers trailing into the car park to set off fireworks, depicted via grainy security camera footage. Sophie B Hawkins’s 1992 track Damn, I Wish I Was Your Lover (a pop song about bearing witness to an abusive relationship) plays softly from the jukebox inside. Martin, a regular, hovers by the bar, watching Hollywood western The Misfits. Like Eli Wallach’s Guido, whose voice can be heard on the TV, he’s “just looking for a place to hide and watch it all go by”.
Sylvie's Love review – Tessa Thompson captivates in jazz-hot romance	Sylvie (Tessa Thompson) has been taught by her mother to stand tall, shoulders back and chin lifted, like a proper lady. Unobserved, she’s considerably looser, freer, grooving to Bill Haley’s See You Later, Alligator in the back of her father’s record store. It’s this uninhibited joy that catches the eye of struggling jazz saxophonist Robert (NFL player turned actor Nnamdi Asomugha) in Eugene Ashe’s glossy period romance. Set in Harlem between 1957 and 1962, the lusty spark between the pair combusts despite Sylvie’s engagement to the more respectable Lacy (Alano Miller). An unexpected pregnancy and a career-making gig in Paris are further obstacles. Thompson and Asomugha have great chemistry, but the film stalls a little in the second half, when the focus pivots towards the couple’s careers. Like Barry Jenkins’s If Beale Street Could Talk and Todd Haynes’s Carol, Ashe takes the form of the 50s melodrama and recentres it on characters the genre has tended to ignore. This isn’t as politically restless as those films – it’s less interested in subverting the “woman’s picture” than establishing itself as one. In the same way that Saul Leiter’s photographs of New York were a visual reference point for Carol, cinematographer Declan Quinn draws inspiration from Gordon Parks’s photo essays for Life magazine. The period costuming is also a dream, with Thompson as striking as any Golden Age heroine in a teal Chanel gown and white elbow-length gloves. Sylvie’s Love is on Amazon Prime
Deliver Us From Evil review – frenzied hit-man thriller is full of cinematic life	There’s a throb of menace driving this gonzo action-thriller from South Korean director Hong Won-chan, who wrote the screenplays for The Yellow Sea and The Chaser. This was a big box-office hit on its home turf. Hwang Jung-min is In-nam, a former cop turned paid assassin who has just whacked a yakuza in Tokyo, and now this dead man’s fanatically violent blood-brother Ray (Lee Jung-jae) is out for revenge. To add to this, In-nam hears that his former girlfriend has been killed in Bangkok, following a bungled attempt to make contact with the kidnappers of her nine-year-old daughter – and the child is still alive, in the abductors’ hands. So In-nam journeys to Thailand on a desperate redemptive mission to save this little girl, with the scary and blood-thirsty Ray on his trail, and the only person in Bangkok who can help him is Yui (Park Jung-min); Yui is a transgender woman who, for all that she is no mobster, manages at one stage to ram a van with her pickup truck, saving In-nam’s life. The twin storylines should undermine the film’s pace and focus. They don’t. There are some impressively spectacular shootouts in the streets and a Bourne-level rooftop chase, together with some very crunchy close-quarters martial arts. Hwang, his face almost always covered in beads of sweat, is a very persuasive and impassive action hero and Lee is creepy and uproariously over the top. Could he be a Bond villain in the years to come? The 007 franchise could certainly do a lot worse. Released on digital formats on 4 January.
The Call review – a phoned-in mix of ghouls, ghosts and well-worn tropes	This telephonically themed horror film, set in nameless American suburbia circa 1987, is not to be confused with the Korean horror film of the same name that also came out this year (and relies crucially on a landline call). This confection is a fairly shonky assemblage of tired tropes, full of dropped connections and annoying static. Its biggest virtue is that it contains another gamey, and game-for-anything, performance from horror-film matriarch Lin Shaye. Shaye has played spooky ladies in scads of scary films, such as the Insidious franchise and lesser known fare such as the enticingly titled Helen Keller vs Nightwolves. Here she is Edith Cranston, a former schoolteacher who has been a raving mess since being blamed for the death of one of her pupils (although never convicted of the murder). Nevertheless, a gaggle of teenagers, including Tonya (Erin Sanders), older sister of the murdered child, has persisted in taunting, teasing, playing pranks and bullying Edith for years. When Tonya and new kid in town Chris (Chester Rushing), along with brothers Brett (Sloane Morgan Siegel) and Zack (Mike Manning), finally push Cranston too far, she kills herself. But her husband Edward (Tobin Bell) summons the high-school seniors back to the house with a strange proposition: if they make a phone call on a decrepit old princess phone, ostensibly to a handset installed in Edith’s grave, and stay on the line for just one minute, they’ll each earn a substantial inheritance. Being teens in an American horror film, the kids are too stupid and greedy to twig this is a terrible idea. Traumatic flashbacks, mangled corpses with gymnastic abilities and blood-splattered undead apparitions soon ensue. One might posit a subtextual interpretation that the youth of today, reared on mobiles, are so unaccustomed to landlines that they see these once ubiquitous household fixtures simply as conveyances for transmitting evil. Released on 11 January on digital formats.
This Is Not a Burial, It’s a Resurrection review – an uncompromising tale of resistance	This is an extraordinary and otherworldly feature film from the tiny landlocked kingdom of Lesotho in southern Africa. It is the tale of a rebel spirit: an elderly woman who opposes government plans to flood her village, making way for a dam. It’s a film about resistance and resilience, but director Lemohang Jeremiah Mosese is coolly unsentimental and realistic about the inevitable march of capitalism and construction. Weaving in ideas around displacement, collective identity and history, this film takes on almost mythic qualities. Some of the actors are non-professionals, but the central role is performed by Mary Twala, who appeared in Idris Elba’s Nelson Mandela biopic Long Walk to Freedom. She plays Mantoa, an 80-year-old widow whose son – her last remaining relative – is killed in a mining accident in neighbouring South Africa. (The film isn’t about poverty, but it’s present in every frame.) Feeling ready to die, Mantoa is making arrangements to be buried in the village graveyard when she hears of the dam project; villagers are to be forcibly resettled in the city. Mantoa decides to put stop to it. She has nothing left to live for, and in a sense this gives her real power. She doesn’t care about offending the pastor, or if people think she’s a witch; she is bent on being buried with her family. This is a severe, uncompromising film; it’s more like a series of images strung together, each framed exactingly, like a painting. At the centre of it all is Twala, often silent, her expression fixed in determination – no words needed. Mosese has said that to avoid cliche he wrote the character as a man then switched the name to female. And Twala gives a tremendous performance, intimate yet epic. This Is Not a Burial is the first film from Lesotho to be entered into the Oscars race for best international feature. Sadly, Twala did not live to share in the success; she died in July last year. • This Is Not a Burial, It’s a Resurrection is on Mubi from 13 January.
Ham on Rye review – subversive satire on suburban conformity	First-time feature director Tyler Taormina has dreamed his way into a very strange and intriguing film: a Gen-Z reverie about life and fate, somewhere between The Prom and The Purge. The film never behaves as if it is anything other than a realist coming-of-age drama but there is something else going on. Haley (Haley Bodell) is part of a clique of popular high-school kids in a bland suburban town who are preparing to take part in a local tradition. She and some other girls are wearing floaty dresses of sacrificial white and getting ready to go down to a local deli called Monty’s – along with a whole crowd of other kids – for what seems to be a pairing-off ritual, like a dance without music or dancing. But there is a lot riding on this, and Haley can’t persuade herself that she wants to join in. Ham on Rye is a satirical parable on conformism and aspiration, and it speaks to anyone who, in settled adulthood, looks back to when their life and romantic chances were arbitrarily decided by a few events in their teens and early 20s. And there’s another layer, too. Ham on Rye takes a bleakly subversive look at the whole idea of breaking free of your boring suburban home town and making it in the glamorous adult world beyond. This is the theme of so many films, and perhaps it is the overriding theme of Hollywood itself. So many films succumb to the romantic fantasy that the way to do this is to be a rebel, a free-thinker, a defier-of-norms. Yet this film, in its surreal way, is grimly about something closer to the un-surreal truth: the people who got out of their boring, philistine home towns were overwhelmingly the competent conformists, at least outwardly and temporarily. They were the ones who worked hard, got good grades and went far away to college, where their individuality could at last flourish. Taormina’s meditation on all this could be compared to Yorgos Lanthimos or Gus Van Sant, but it is very individual work, as creepy as a ghost story. • Ham on Rye is available on Mubi from 11 January.
Vanguard review – Jackie Chan reunites with Stanley Tong for patriotic action comedy	Veteran Hong Kong action director Stanley Tong reunites with his longtime star Jackie Chan for this amiable but rather under-par adventure with silly CGI effects. Chan is allowed one or two comedy moments, but takes a very straight and stately role as Tang, the “elder statesman”-type director of an elite private security firm called Vanguard, presiding over tough, battle-ready and apparently also catwalk-ready young people – and occasionally pulling a few martial arts moves. In his trim three-piece suit and glasses, however, he looks faintly like Ronnie Corbett. A Chinese accountant and his young wife are kidnapped in London’s Chinatown and Vanguard (with its preposterous HQ full of people wearing phone headsets and gazing at computer screens) is tasked with rescuing him, his wife and his winsome daughter, who is doing laudable conservation work in a nation state referred to initially as “Africa”. She is also vulnerable to abduction as she frolics with CGI big cats in Lion King world. Tang and his crew toughly resolve to rescue their man, while frowning at his supposedly unwitting links with arms dealers, the source of all his woes. Their adventure takes them all over the world, from London (where Chinatown and Buckingham Palace are apparently adjacent) to a fictional land that looks vaguely like Zambia and then to the ineffably boring but wealthy world of Dubai. The scene with a jetski on the edge of a waterfall deserves points, but this feels disposable: the Chinese New Year is earnestly referenced as part of the film’s strident and faintly humourless patriotism. • Vanguard is in cinemas and on digital formats from 8 January.
Vanguard review – an outrageous waste of Jackie Chan	There’s an argument to be made that a film featuring a jet-ski machete fight on the edge of a waterfall, robotic surveillance wasps, solid gold supercars, weaponised attack hyenas and Jackie Chan doesn’t actually need to be good, in the conventional sense of the word. And with its multiple locations (London, Beijing, Dubai, Zambia, India) and efficiently packaged moments of nationalistic fervour, this action picture, which pits Chinese covert security organisation Vanguard against the scenery-mangling forces of evil, is clearly aiming for the pulpy escapist end of the market. But even so, there’s precious little fun to be had in this self-important mess of a movie. Chan plays the head of Vanguard, but spends an awful lot of time in the field with his elite agents. Their mission: to rescue a businessman and his eco-YouTuber daughter Fareeda (Ruohan Xu) from villains who see them as the route to a missing fortune and, ultimately, some kind of genocidal ultra-weapon. The score feels like being trepanned by music; the story, like the VFX action sequences, is illogical and hacked together. It’s an unforgivable waste of Jackie Chan, action-movie legend, reduced here to pratfalls and gurning double takes. Vanguard is available on multiple VOD platforms
Robin's Wish review – how a comedy giant was destroyed by dementia	The genius of Robin Williams is taken as a given by this intensely sad documentary, which pays fleeting tribute to the actor and comedian’s talent but focuses mainly on the undiagnosed neurodegenerative disease that led him to take his own life in 2014. Lewy body dementia is a deadly and devastating condition, one that is little known and frequently misdiagnosed. And for someone like Williams, whose brilliance depended on the quickfire, sparking neural connections of his exceptional brain, the symptoms, which include fear, delusions and hallucinations, must have been particularly terrifying. This film, made at the behest of Williams’s widow, Susan Schneider, is intended to raise awareness of the condition. It’s certainly informative and affecting, but the limited use of early archive footage and the emphasis on Williams’s decline and suffering make for bleak viewing. • On multiple VOD platforms
Mayor review – an inspiring portrait of a Palestinian city official	Local governance, according to Musa Hadid, mayor of the Palestinian city of Ramallah, is the most beautiful branch of politics. It’s certainly, as this compelling fly-on-the-wall documentary attests, the area in which he is able to have the most direct connection with the city and its people. The very likable Mayor Hadid is a robustly hands-on public servant – we watch him pondering city branding and overseeing the abseiling Santas at the Christmas tree lighting. We also see him dealing with a sewage spill, berating a bus driver for speeding and, in some of the film’s most dramatic moments, witnessing Israeli forces shooting at protesters, and finding himself temporarily besieged in the city hall. Deft editing and unexpectedly affecting music choices make for an engaging portrait of the kind of impassioned and dedicated politician who seems in short supply right now. • Mayor is available on Curzon Home Cinema, Dogwoof and iTunes
The Intergalactic Adventures of Max Cloud review – video game send-up is virtually pointless	Here is a throwaway space spoof, an affectionate send-up of the naffness of early 90s video games, that lovingly recreates the vintage details with its production design and fight choreography, but is troublingly low on scripted gags. It plays out in two dimensions: virtual and real life. Inside a computer game, explorer Max Cloud is an intergalactic hero, a preposterous macho knucklehead in latex, sturdily performed by actor and martial arts expert Scott Adkins, who has appeared in a few of the Marvels. I did wonder if an actor with the comic chops for some megaton silliness might have done some heavier lifting here. Meanwhile, in actual Brooklyn, teenage gamer Sarah (Isabelle Allen) is hooked on the Max Cloud video game. After a fight with her dad she is mysteriously teleported into the game – and into the body of a minor character, chef Jake (Elliot James Langridge). You might consider this a waste of a female lead – putting her into the body of a male actor – but there she stays for most of the movie. For any chance of making it back to her real life she must complete the game with the help of her friend playing in her bedroom (Franz Drameh). John Hannah is painfully unfunny as ultra baddie Revengor, who wants to destroy planet Earth over a past snub. This is a film so inoffensive that for the first 10 minutes I thought it was targeted at kids, until one of the characters dropped a swear (and thinking about it, anyone under 40 will be oblivious to its reference). But in lampooning naffness without enough laughs, it veers perilously close to actually being naff. A reminder that clever comedians are required to pull off daft comedy. • Released on 18 January on digital formats.
