,Title,Text,,
165,Come True review – blow-out imagery in visionary sleep disorder thriller,"There is something visionary about this near-nonsensical, kitsch but atmospheric techno-thriller from Canadian director Anthony Scott Burns. Drawn along on dark somnambulic rhythms, it incorporates elements of fantasy, horror and 80s synthwave aesthetics without giving itself over completely to any of them. A wordless first 10 minutes introduces us to Sarah (Julia Sarah Stone), a runaway student apparently unwelcome or unwilling to return home, waking in spectrally lit parks and falling asleep in coffee shops. Dropping suddenly into surrealistic CGI dreams that track inexorably towards a demonic figure who, if approached too closely, wakes her with a start. Sarah decides to try to climb out of this insomniac bath by enrolling in a university sleep study. It is overseen by Dr Meyer, a Cronenbergian academic in big glasses, but run by a trio of researchers who, like the memory technicians in Eternal Sunshine of the Spotless Mind, have a loose relationship with scientific protocol. Becoming close to Jeremy (Landon Liboiron), she learns that they are using pioneering technology to observe the subjects’ dreams – and that the same shadowy presence manifests in all of them. But Burns doesn’t pursue this supernatural lead where you would expect, committing instead to a dream-logic that mostly abrogates him of plot duties. Acting as his own cinematographer and editor, he puts together a blow-out of imagery with great technical skill that fleshes out this waking dream of a film. Sarah watches her dream self in Jeremy’s mind’s eye on the monochrome monitors, which later melds into a stylised aquamarine-flooded sex scene that is like a Michael Mann wet dream (a debt acknowledged by the use of Shriekback’s Coelacanth, the spine-chilling tune from Manhunter). Talking is beside the point – and, with Stone adept at mute trepidation, it often feels that way even when there is some dialogue. As for interpreting what it all means, leave that to Burns’s therapist. The flamboyance on display here, though, promises great things. • Come True is released on 15 March on digital platforms.",Come True,FILM
166,Stay Out of the F**king Attic review – secrets are laid bare in efficient horror,"Ex-con Schillinger (Ryan Francis) has been out of the big house long enough to start up his own business as a removal man, and has just hired two more employees, also prison alumni: tough Imani (Morgan Alexandria) and her friend, soft-spoken new father Carlos (Bryce Fernelius). All three have pasts they would like to put in the rear-view mirror of the moving van. But an offer from a creepy old man (Michael Flynn) with a German accent to do a quick overnight cash job will expose each person’s dark secrets and vulnerabilities, including piquing their perfectly natural curiosity when he tells them to shift everything in the mansion but stay out, per the title, of the attic. And the basement for that matter, but presumably director Jerren Lauder and his producers agreed Stay Out of the F**king Attic and Also the Basement wasn’t such a snappy title. Of course, the employer’s command sets the movers in motion and it all comes out: Nazi pasts, monsters, and one unfortunate mover’s eyeball in a particularly gruesome interlude. Strictly in terms of generating jumpscares and gross-out moments this is efficient enough as a cinematic machine, but the script credited to four different people including Lauder hasn’t got a lot of finesse or subtlety. Even for allowing that horror films set in spooky old houses are supposed to be full of dark shadows and blackness, this is especially gloomily lit, so viewing on laptops is not recommended. Tension relieving laughs are few and far between, except for unintended guffaws that might be generated when one character skins part of their own anatomy; but the actor does such a poor job of expressing pain it looks like they merely stubbed their toe. • Stay Out of the F**king Attic is released on 11 March on Shudder.",Stay Out of the F**king Attic,FILM
167,The Adventures of Wolfboy review – charm and vulnerability in magical realism fable,"Broken into arch chapter headings that are introduced with intricate, stylised illustrations like something out of a book of fairytales for Gen Z and millennial misfits, this fey, magical realism fable is an interesting mixture of winning charm, smug knowingness and vulnerability. The screenwriter (Olivia Dufault), one of the young co-stars (Sophie Giannamore from Transparent) and the character she plays are all transgender, and the film is at its best when it is working through issues around dysphoria through the lens of allegory. That feeling of not being at ease in your own body is at the heart of this story about a 13-year-old named Paul (Jaeden Martell, heartbreakingly expressive even under a ton of prosthetics and fake hair) who has a condition that causes him to grow lustrous golden-red fur all over his body, including his face. Teased by peers at school, and already dealing with major abandonment issues after his mother ran off when he was little, he can’t even count on his well-meaning but clueless dad (Chris Messina) to do the right thing. One day Paul runs off to find his mother in that mythical land known as Pennsylvania. Along the way, he briefly becomes a freak show attraction at a carnival run by the menacing if mesmerising Mr Silk (John Turturro, going over the top, round the outside and up from underneath with an outrageously hammy performance); and then falls in love with a beautiful singer around his own age named Aristiana (Giannamore), whose dreary mother insists on calling her by her dead name “Kevin”. First time director Martin Krejci draws lovely performances from his cast, and the whole thing looks dreamy and splendid thanks to Andrew Droz Palermo’s cinematography – but the last act could have done with some serious workshopping to smooth out the motivational kinks and deflationary resolution. Still, it might be the kind of film a kid wrestling with their identity will treasure forever, flaws and all. • The Adventures of Wolfboy is released on 15 March on digital platforms.",The Adventures of Wolfboy,FILM
168,The Little Things review – plodding serial killer thriller,"If it didn’t plod quite so tamely in the footsteps of films such as Seven and Zodiac; if Rami Malek had chosen to use more than one facial expression in his performance, then perhaps this overly familiar tale of obsessed cops and serial killers might feel less stale. As it is, it’s about as fresh as a bloated, bile-tinged corpse dredged from the Los Angeles river, with a markedly similar colour palette to boot. As deputy sheriff Joe Deacon, Denzel Washington’s shuffling gait and round shoulders belie a sharp mind that is wasted in the quiet backwater where he now works. Sent to LA, his old stomping ground, Joe is confronted by former colleagues less than thrilled to see him, and by his successor Jim Baxter (Malek), who is about as wholesome as it’s possible to be in a job that involves scrutinising corpses on a daily basis. Initial hostility warms into mutual respect, as the two men bond over the investigation of a series of murders. John Lee Hancock, who wrote as well as directed the film, is no David Fincher, but his use of colour is bold: green is threaded through The Little Things like a trail of clues – the eyes of a victim, the pistachio paintwork of a suspect’s car, the throbbing emerald of Joe’s hotel room breakdown. But as the detectives start to lose the plot, so does the film, fizzling into an unravelling tangle of loose ends. • On multiple VOD platforms",The Little Things,FILM
169,"Mouthpiece review – two women, one tale of grief","Following the death of her mother, Cass is falling to pieces – a fact that this adaptation of an inventive stage play explores through the device of having two actors simultaneously playing the same character. Norah Sadava and Amy Nostbakken wrote the play and jointly star as Cass; Nostbakken also contributes the film’s haunting and rather lovely score. I wonder if the dual performance might have had a more forceful impact in the stage incarnation; nevertheless, the film is undeniably potent in its account of the shattering force of grief. Available in virtual cinemas and on demand",Mouthpiece,FILM
170,Locked Down review – Anne Hathaway and Chiwetel Ejiofor are suitably trapped,"In the right hands, storytelling within a framework of restrictions can lead to thrillingly inventive film-making – think the Dogme films, with their vow of creative chastity, or single-location thrillers such as Gustav Möller’s The Guilty or Steven Knight’s Locke. Knight wrote the screenplay for this Covid-19 drama, but the tale of a struggling marriage – Anne Hathaway and Chiwetel Ejiofor are suitably mismatched – pushed to breaking point by the first pandemic lockdown is worlds away from the lean cinema of limitation of Locke. Instead, the film busts a gut attempting to free itself from the confines of the couple’s home. In this, it’s at least true to the spirit of lockdown, but it feels like a missed opportunity. • Available on multiple VOD platforms",Locked Down,FILM
171,Reunion review – Julia Ormond wows in slow-burn Kiwi horror,"Reunion is a two-in-one horror treat, serving up a scary mother and a spooky old house full of secrets. Evil mums are terrifying and pleasurable in equal measure; reflecting our intergenerational angst while pushing the same dynamic to spectacular heights. Here, Julia Ormond’s deliciously passive-aggressive matriarch delivers both campness and genuine unease. Reunion sees the return of Ellie (Emma Draper), an academic studying black magic, to her New Zealand childhood home. Heavily pregnant, Ellie longs for a quiet weekend to focus on her work, but such hopes are dashed by the presence of her domineering mum Ivy (Ormond) who is packing up the furniture in anticipation of the house’s sale. Like her namesake, Ivy is poisonous, pampering Ellie only to immediately criticise her every move. The atmosphere is claustrophobic, littered with moving boxes as well as unresolved childhood traumas; the decor only enhances this tension with stifling flowery wallpapers a direct contrast to the black gunk oozing from the kitchen sink. Underneath all the prettiness, something is clearly rotting: as Ellie wanders through the corridors of her youth, her repressed memories come flooding back: death, betrayal, unspeakable secrets, darker than any gunk. Reunion is admirably patient: instead of jumpscares, it is more interested in creating an ambience of perverse disquietude: slides of bloody magic rituals, flickering home videos, even brief experimental closeups of internal bodily fluids. These choices initially appear cryptic, but they all come together in the film’s last stretch in a gory, kaleidoscopic spectacle of family trauma. Ormond’sperformance is stunning – she has a magnificent line involving boiling a cauliflower – and there are some truly sublime visual moments. Even if it’s one of those films where the parts are a lot better than the sum, Reunion is sure to linger in the mind. • Reunion is released on 22 March on digital platforms.",Reunion,FILM
172,A Coach’s Daughter review – low-key betrayal on the teen tennis circuit,"Lukasz Grzegorzek’s A Coach’s Daughter is an interestingly downbeat movie, veering away from the big scenes and obvious crises that other films with the same idea might have given you, and yet somehow serving them up in different forms. It’s about the intense and borderline inappropriate relationship between a middle-aged tennis coach, Maciej (Jacek Braciak) and his teenage daughter Wiktoria (Karolina Bruchnicka), who is a budding tennis star. He is driving her all over Poland, where they are competing in summer regional tournaments, and hoping for glory; they share hotel rooms and lounge around together in intimate states of undress like a couple, but appear utterly focused on Wiktoria’s training and fitness. On the road they meet Igor (Bartlomiej Kowalski), a bright young teen male star of this tatty circuit, and Maciej offers to let him tag along and to coach him. Clearly, some sort of emotional betrayal is in the offing, especially as Wiktoria and Igor make a rather handsome couple; there is a real chemistry between them, and Wiktoria could well be sick of this monomaniacal discipline. But Maciej has his own secrets and his own emotional needs. Could it be that it he is going to transfer his passion and quasi-parental concern to Igor, the son he never had, and someone who might actually have a better shot at Wimbledon than Wiktoria? A Hollywood version of the same idea might have had both Igor and Wiktoria each building up to a big match and confronting parallel crises; this isn’t what happens here and it’s notable how Grzegorzek skates over the drama of what happens on court. And a different type of movie might have addressed the audience’s unease about the possibly transgressive relationship of Maciej and Wiktoria, but this film coolly declines to let things go that way. A Coach’s Daughter finds its low-key way of controlling the drama. • A Coach’s Daughter is released on 19 March on YourScreen.",A Coach’s Daughter,FILM
173,While We Are Here review – enigmatic study of romance is hard to love,"Here is a thought-experiment of a movie from Brazilian film-makers Clarissa Campolina and Luiz Pretti: it’s a dramatic essay, or docu-fictional romance, or perhaps the cinematic equivalent of an epistolary novel, and it has been much admired on the festival circuit. But intriguing though its premise is, I couldn’t really make friends with this film. Two characters meet in New York and fall in love, but we never see them (though we maybe glimpse them). We do however hear their voices on the soundtrack, musing and commenting. One is Wilson (Marcela Souza e Silva), a Brazilian migrant worker who is in fact about to return to Brazil due to worrying news from home; the other is Lamis (Mary Ghattas), a Lebanese single mum. What we see is the city around them: ambient streetscapes. But it is not true to say that we see what the characters see, because, in this sense, they never see each other or catch sight of themselves in any mirror. We hear their voices, and also that of a central narrator (Grace Passô), but these voices are strangely unanimated. The actors simply read aloud what are evidently Wilson and Lamis’s thoughts, or possibly journal entries, or emails to each other, which are musing and ruminative. The line-readings are weirdly detached and toneless, and there is a disconcerting absence of passion, or even recognisable emotion in these maundering speeches. Finally, Lamis and her child go to Berlin where she has a scholarship and Wilson goes to Belo Horizonte in south-east Brazil; and Campolina and Pretti capture the street-scenes there as well, in the same way. The ending is as enigmatically emotionless as everything else. There is sincerity here and a formal consistency, but there is something obtuse and thin about it all. While We Are Here is released on 19 March on True Story.",While We Are Here,FILM
174,Assault on Station 33 review – Nicolas Cage's son dials it up as supervillain,"Although the title invokes John Carpenter’s 1976 classic Assault on Precinct 13, one of the all-time great pulpy siege movies, this tale of a hostage-taking at a Veterans Administration hospital in Buffalo, NY, is all pulp, no greatness. In fact, the premise is not so much about an assault as an infiltration that one fortuitously skilful character, who just happens to be around at the time, accidentally foils when the bad guys threaten his wife and child’s safety. In other words: Die Hard, but with a teensy budget that appears to have mostly been used on a visual effect that makes the many shots of bullets entering bodies look like puffs of red dust exploding like scarlet glitter bombs. It’s quite distracting in its shabbiness. Sean Patrick Flanery stars as Jason Hill, a version of Bruce Willis but with more hair and less comic timing. He’s a former soldier whose wife Jennifer (Gina Holden) works as a therapist treating PTSD patients. While waiting in the hospital building for her to finish treating a high-ranking general (Gerald Webb) while their daughter (Sarah Elizabeth Jensen) waits in the parking lot, Hill notices that some of the workers supposedly there to fix a broken elevator, as well as some unfamiliar security guards, are acting kind of hinky. That’s because they’re all bad guys working for Rabikov (Weston Cage Coppola, son of Nicolas Cage): a Russian terrorist who wants to exchange the general and the lives of the hostages he and his minions capture for his brother, who is being held by the US authorities. Coppola’s year-old-Époisses-ripe performance, sporting a surprisingly convincing Russian accent, is one of the more amusing features of this film which is otherwise a fairly bog-standard opportunity to dish out regular doses of gunfire and fisticuffs. • Assault on Station 33 is released on 15 March on digital platforms.",Assault on Station 33,FILM
