"    ","Title                                                                                         ",Text,central_entity,type
"335 ","Find your true calling with Gwyneth Paltrow | Brief letters                                   ","While serving for 38 years as a Methodist minister, I took it as read that it could be described as a “calling”. On retirement, and getting elected to the city council, some people were aghast when I suggested that politics could be seen in the same way. After discovering that Gwyneth Paltrow has often described setting up Goop as “a calling”, (Gwyneth’s Ark: sailing towards wellness but never quite getting there, 30 April), I am inclined to stop using the word. Cllr the Rev Geoff Reid Bradford • I do remember that credit card slogan and agree with Karen Morris (Letters, 2 May) that waiting has value. I also remember being horrified when, in an interview, a director of Asda bragged that its success was because it had abolished seasonality. Brian Fish Leeds • The Guardian’s neglect of classical music reached a new low when describing the BBC Young Musician competition in The Guide (24 April). Phrases such as “it’s squeaky-bum time” and “festival of twiddly excellence” are extremely insulting to these talented and dedicated youngsters. Anneleen and Andrew Fairfax Tunbridge Wells, Kent • I received a leaflet from the Conservative party for the local elections. Its candidate for the police and crime commissioner for Avon and Somerset set out his four priorities for policing. I was delighted dog theft was one of them. Unfortunately, violence against women was not. Jane Giddins Bath • Re blackbird playlists (Letters, 2 May), our local talents have included the Nokia ringtone and a distinctive “Covid Covid” call. But the latest rendition was a squeaky dog toy that we thought was the neighbour’s dogs for a few months. Dave Regan Longborough, Gloucestershire • Have an opinion on anything you’ve read in the Guardian today? Please email us your letter and it will be considered for publication.",Gwyneth Paltrow,PERFORMER
"336 ","We Still Say Grace review – religious horror strays from the path of credibility              ","Nothing else in this schlocky horror-thriller comes anywhere close to matching its cheerfully grotesque opening. Harold, a white-bearded Bible-quoting hellfire fanatic (played by Bruce Davison), is presiding over a last supper; his wife and teenage daughters look terrified. After they’ve finished, he tells them that the wine was poisoned – they should prepare to meet their maker. Except it turns out not to be true. The whole thing is a sick test of the women’s submissiveness to him, their lord and master (though there is nothing godly about the way he squeezes his daughter’s knee). It is the last genuine moment of actual tension in this silly, derivative and wildly unconvincing film. Harold and his family live cut off from the modern world on a farm 30 miles from their closest neighbour. They dress in simple homemade clothes like the Amish and, crucially for the plot, don’t have a phone, a car or even a horse). Harold’s wife Betty (Arianne Zucker) and his eldest daughter Sarah (Rita Volk) are true believers, but the script is thunderingly uncurious about how they might be identifying with him as their abuser. Daughter number two, Maggie (Holly Taylor), reads books so we know she’s going to be trouble. When a trio of young guys knock at the door – their car has broken down – Maggie sees her chance to escape. Harold puts on a show of good-old-fashioned hospitality for their guests, but pretty soon reveals his endless store of wrath for anyone who has strayed from the path of righteousness. Davison plays Harold a bit too genially: there is a likable Jeff Bridges energy to his performance, and not an awful lot of fire in his rants and violent rampaging. In fact, though the movie is played straight, it’s not remotely scary; there might have been more mileage in chucking in a few gags and turning the material into a black comedy spoof. • We Still Say Grace is released on 3 May on digital platforms.",We Still Say Grace,FILM
"337 ","Lucky review – spirited Ghanaian romcom captures the social media age                         ","Here is a vibrant, idiosyncratic portrait of Ghanaian youth, bursting with wisecracks and a boyish restlessness. There is an amateurish shakiness to the visuals, but the film overcomes this with a lot of charm and an innate understanding of its young subjects. University student Lucky (Kumi Obuoabisa) is a loafer who perpetually borrows money from his hardworking mother and enjoys a minor kind of social media fame. His screen – and the film’s screen – lights up with notifications every minute. To his surprise, he secures a date with gorgeous online “it girl” Nuttifafa (Jane Efya Awindor) but with no money to his name, Lucky calls on his friend Wadaada (Solomon Fixon-Owoo Jr), a hustler who prides himself on being able to sell anything. Together the pair try to unload a MacBook laptop, a seemingly uncomplicated task that entangles them with dangerous criminals. These days, films about youth and social media are a dime a dozen but very few of them understand how young people actually talk on such platforms. The strength of Lucky is that it captures perfectly the banality of someone sliding into your DMs and is laugh-out-loud funny in its relatability. In a supporting part, Fixon-Owoo proves to be the real star. Wadaada’s various hustling schemes are amusing, but the character’s frustration with his conservative father lends a real depth to what could have been a caricature. The laddish attitude of Lucky’s leads is jarring and at times uncomfortable; in their world, women seem to be either a nuisance or a prize. Perhaps such portraits are an indictment of young male behaviour in this age of fast-food romance. But given that the scenes are often played for laughs, Lucky crosses the dangerously thin line between satire and simple sexism. Lucky is released on 10 May on digital platforms.",Lucky,FILM
"338 ","Atlantis review – strangely upbeat exploration of war-ravaged Ukraine                         ","Ukrainian writer-director Valentyn Vasyanovych’s drama won the top prize in the Horizons strand at the Venice film festival in 2019: in the signature style of Slavic arthouse cinema, it mostly comprises a series of long-held, static widescreen tableaux. Each scene is about the same length, and within each long, ventilator-speed shot everything seems to carry the same weight: a man being berated by a supervisor at a steel mill and then jumping into the smelter in despair; another guy making a bathtub out of a rusted out digger bucket; a couple having sex in real time. The story is set in 2025, “a year after the end of the war” – in other words the one with Russia in eastern Ukraine that’s been rumbling away for years now. But instead of being numbingly dreary and depressing, given the economically depressed, horrifically polluted and landmine-strewn region, Atlantis is strangely upbeat, oddly hopeful even. It helps that Vasyanovych, who was also the cinematographer and editor of The Tribe, an outstanding Ukrainian film from 2014, has cast deeply likable and empathic non-professionals, most of whom reportedly had direct experience of the conflict. They reward the director with fine performances. Lushly bearded Serghiy (Andriy Rymaruk) has a gentle, bearish mien and is entirely convincing as a former soldier and former steelworker, who ends up helping former archaeology student and ex-paramedic Katya in the ongoing project of retrieving the anonymous remains of the dead from the fields of battle so that forensic specialists can try to identify the bodies. (She notes with bitter irony that she’s ended up working in the field she studied, only now she’s digging up bodies much less ancient than she expected.) Compared with other recent features set around this region, like Sergey Loznitsa’s antic, surrealist satire Donbass, Atlantis is more conventional and more accessible. But at least it gets to outline some of the horrors of what’s going on there, in a war almost entirely out of sight and mind for viewers in most of the west, and it does so without leaving any acrid taste of hopelessness. • This review was amended on 20 May 2021. The bath was made out of a digger bucket, not a car as stated in an earlier version. • Atlantis is available on 4 May on Mubi.",Atlantis,FILM
"339 ","In Short, Europe: Happy Together review – a union uplifted by humour","In the wake of Brexit, there’s a defiant note in the overarching theme – Happy Together – of this year’s survey of European shorts, brought to us by EUNIC London, an umbrella organisation for EU cultural institutions, and pulled together by London-based curator Shira MacLeod. But, as they say, it’s complicated: the “happiness”, as flaunted in many of these 19 short films, feels somewhat ironic; long-suffering humour the common currency in muddling through a bundle of dissatisfactions, gripes and misunderstandings. In Barnabás Tóth’s Chuchotage, two Hungarian translators make unlikely sweet talk from the Euro-sustainability waffle they have to parse for an attractive client. The scenario walks a fine line next to creepy sexual harassment – before these cunning linguists get their comeuppance. Personal lives thrashing tragicomically in the shadow of the political has been a hallmark of the Romanian new wave, and The Christmas Gift’s hilarious premise suggests director Bogdan Mureşanu could be another future star of that movement. After overhearing his dad badmouth Ceauşescu, a seven-year-old posts a letter to Santa saying his parent’s present should be for “uncle Nick” to die. “He’s no child, we’ve raised a snitch,” yells the panicked father. Meanwhile, Swimmer is a Mexican – or rather Swedish – standoff in a municipal pool as two policemen’s attempt to extract a lawbreaker wrings deadpan magic from piped Muzak, as director Jonatan Etzler floats a cheeky meditation on the boundaries between public and private space. There are more solemn entries: Vanessa Del Campo’s Mars, Oman, shot with photojournalistic rigour, fruitfully collages Bedouin, trainee astronauts and aspiring Arab scientists, while a golden-haired youth freewheels through gentrifying Porto in Leonor Teles’s Dogs Barking at Birds, done with Claire Denis-like suppleness. But the two standouts choose to play things light: the candy-coloured Czech animation Sh_t Happens, by Michaela Mihályi and Dávid Štumpf, is a three-part hard-luck story about a janitor in a building full of animal tenants, which has a Robert Crumb-esque feistiness and punchy sound design. And the hills are alive with hollers, trills and whoops in Hannes Lang’s RIAFN, an initially quaint montage of Tyrolean shepherds’ calls that builds into something as pure and invigorating as a mountain stream. At this altitude, European humour has left daily worries far below. • In Short, Europe is available 7-16 May on digital platforms.","In Short, Europe: Happy Together",FILM
"340 ","End of Sentence review – a masterclass in understated acting                                  ","John Hawkes is one of those actors with a lived-in quality that pulls viewers in before a single line of dialogue is even spoken, and End of a Sentence is yet another testament to the stunning ease with which he slips into his roles. A healing road trip that takes the audience from Alabama to the winding roads of Ireland, Elfar Adalsteins’ directorial debut captures well-trodden paths with fresh eyes. Frank (Hawkes) is a mild-mannered man with a severe exactness to his gestures, the polar opposite of his volatile and impulsive son Sean (Logan Lerman), who has just got out of prison after doing time for car theft. As Frank’s wife has died, the estranged pair are forced to squeeze into a plane, and then a car, as they fulfil her dying wish to have her ashes scattered at a lake in Ireland. Along the way, they pick up Jewel (Sarah Bolger), a hitchhiker with a troubled past, all while attempting to exorcise their shared demons. End of a Sentence is a reminder of how pleasurable it is to see genuinely pitch-perfect acting, the kind that quietly brings characters’ inner lives to the fore. The father-son relationship feels beautifully real, due in part to the precise, economical writing but also to the effortless chemistry between Hawkes and Lerman. Despite her brief screen time, Bolger is arresting and memorable, no easy feat considering that her character feels like a plot device. This writing, along with the occasional on-the-nose song choice and heavy-handed colour correction, lets down a film that is at its best when the camera takes a step back and simply allows the action to unfold. End of Sentence is released on 10 May on digital platforms.",End of Sentence,FILM
"341 ","Golden Globes body unveils plans to deal with crisis over diversity and ethics                ","The Hollywood Foreign Press Association (HFPA), the body that organises the Golden Globe awards, has outlined the changes it plans to make in an attempt to rescue its credibility after months of complaints and criticism over the lack of diversity in its membership and “ethical lapses” in the way it conducted its business. In a letter to the organisation’s membership published by Deadline, the HFPA said that it has “created a roadmap for transformational change in our organisation”. The plan calls for the HFPA (which currently has about 90 members) to add a minimum of 20 new members in 2021 “with a specific focus on recruiting Black members”, and over the next 18 months to expand to more than 130, as well as changing many of the requirements (such as residence in southern California) which it claims are “barriers” to “underrepresented groups”. The HFPA also says it will “develop a comprehensive and long-term strategy for the recruitment of racially diverse journalists”. The organisation also addresses criticisms over its perceived ethical issues, after claims that awards voting has been influenced by promotional handouts, members receiving disproportionate financial rewards, and claims of unprofessional behaviour in press conferences. The plan calls for an end to members taking “promotional items”, a “review of press conference procedures” and to “strengthen conflict of interest disclosures”. The HFPA board is threatening to resign en masse if the current membership fails to approve its plans. A positive reception for the HFPA’s proposals from the film and TV industry is vital for the continued existence of its lucrative Golden Globe awards. NBC, the TV network that pays around $60m per year to show the Globes, called it “an encouraging step in the right direction” in a statement to Deadline. It added: “The organisation’s swift adoption and meaningful execution of the plan in its entirety are essential for the Golden Globes to remain on NBC.” However, recent crises show that the HFPA is far from out of the woods. It was forced to expel its former president Philip Berk after he shared an anti-Black Lives Matter article from a far-right website that described the movement as a “racist hate group”; while two of its key hires – diversity and inclusion adviser Shaun Harper and crisis management consultant Judy Smith – departed from their roles. The organisation is also facing a boycott by influential Hollywood PR firms, as well as vocal criticism from the Time’s Up campaign group.",Hollywood Foreign Press Association (HFPA),OTHERS
"342 ","Betrayed review – restrained depiction of Norway’s Holocaust victims                          ","Steven Spielberg once said of Schindler’s List that he was telling a story of the Holocaust, not the story. “There are millions of stories of the Shoah. Six million of them we’ll never hear.” In this heartfelt, restrained movie, Norwegian film-maker Eirik Svensson dramatises the true story of one family of victims from Nazi-occupied Norway. In November 1942, large numbers of Norwegian Jews were rounded up in the middle of the night and taken to a dock in Oslo; 529 were loaded on to a German cargo ship, the SS Donau, and deported to Auschwitz. Jakob Oftebro plays Charles Braude, a good-natured and thoroughly decent young boxing champion who lives in Oslo with his parents and grown-up siblings, all six of them crammed into a two-bedroom apartment. The film begins at the very start of the war, taking great care to paint the Braudes as a close-knit, happy family; it is a little idealised perhaps, but knowing what is to come, incredibly emotional. The Braudes don’t believe the war can touch them in neutral Norway. Then the Germans invade; Charles is arrested and sent to an internment camp with his father and brothers. A Norwegian soldier in the camp, a man with a toad-like smile who makes a big show of being one of the good guys, challenges him to a boxing match, putting Charles in a terrible dilemma – it’s impossible to say no, but to survive he cannot draw attention to himself. The title is an accusation against Norwegians who collaborated with the Nazis; and Betrayed is also at pains to show how some ordinary Norwegians were indifferent to the fate of their Jewish neighbours. It’s a film of desperately upsetting details. Near the end, after the Donau has set sail, large bins full of ID cards stamped with a red “J” are left behind at the dock – no longer needed. And yet there is nothing here that’s too disturbing, no humiliation that’s unwatchably harrowing. It left me wondering what room there is for understatement in a film about the Holocaust, or whether at some point restraint diminishes the true horror. • Betrayed is released on 10 May on digital platforms.",Betrayed,FILM
"343 ","Little Fish review – all-too-brief encounter in the midst of amnesia pandemic                 ","Once you get past its note of emo-mawkishness, there’s something disquieting and poignant (and rather prescient) about this doomed love story of the future, from director Chad Hartigan and taken from a short story by Los Angeles author Aja Gabel. Emma (Olivia Cooke) and Jude (Jack O’Connell) are a young couple living in an America ravaged by a pandemic causing memory loss. The disease has been causing planes to crash, because pilots suddenly forget how to fly, and marathon competitors to keep on running into the night because they’ve forgotten they’re supposed to stop. The couple’s best friends have been hit by the disease, and Emma and Jude are now themselves anxiously monitoring each other for the first signs of forgetfulness, and trying to hoard their romantic memories (so recently made) against the great forthcoming oblivion. Little Fish has obvious echoes of Alfonso Cuarón’s Children of Men and Christopher Nolan’s Memento, though its purpose is to brood more statically on the nature of memory and love. Sometimes it tries the patience, just a little. But it’s a film that is in tune with the Covid age, and it plugs in to one of the great contemporary issues: dementia. The spectacle of young people suffering memory loss is a bold narrative strategy whose effect is to remind you that the old are not a separate, lesser tribe who somehow don’t deserve to avoid dementia: everyone is equal, young and old, and old people feel the agony of dementia as much as young people would (and sometimes do, in early-onset cases). O’Connell – a very good actor of whom I feel I haven’t seen enough recently – is tender and sympathetic as Jude, and Cooke is similarly intelligent and gentle as Emma. • Little Fish is released on 10 May on digital platforms.",Little Fish,FILM
"344 ","Blacks Can’t Swim: The Sequel review – follow-up doc makes a splash                           ","In this feature-length extension of his 2020 documentary A Film Called Blacks Can’t Swim, producer and writer Ed Accura devotes further time pondering the titular myth. It’s immediately clear that it’s a case of don’t, not can’t. But however it has come about, this shibboleth is now responsible for an astonishing statistic: 95% of black adults in the UK and 80% of black children do not swim. As the film points out multiple times, this has life-threatening implications. Lack of parental encouragement, lack of opportunities at school, no role models, braided hair, fear of the deep end and ancestral memories of slave-trade Atlantic drownings are just some of the reasons given in a generous spread of interviews. As well as this fieldwork, the film also has an activist thread in order to combat what Accura calls “blaquaphobia”: dramatised interludes in which he plays Frank, a recent swimming convert trying to convince a pair of reluctant teenagers, K Frost (Reginald Mudenda) and Layla (Amina Smith-Gul), to take part in a gala as part of a programme for disadvantaged young people. The character is based on Accura’s own journey of learning to swim as a 53-year-old. These segments are a little clunky, but hook you in teen-mag photo-story style. K Frost getting suddenly enthusiastic about hitting the leisure centre when Frank bribes them with a meet with a music-video director is particularly amusing. The film’s length and occasional repetitiveness risks the attention-span equivalent of wrinkly fingers, and perhaps breaking out some historical perspective could have been illuminating: recent US research suggests that antebellum African Americans did swim more frequently, and the current stereotypes stem from the rise of white-dominated beach and pool culture. But Accura’s good-humoured approach is a fine ice-breaker for the subject. As one interviewee points out, maybe all black UK swimming needs now is one major cultural advocate. Someone get Stormzy a pair of armbands, pronto. • Blacks Can’t Swim: The Sequel is released on 10 May on digital platforms.",Blacks Can’t Swim: The Sequel,FILM
"345 ","Fried Barry review – alien’s scuzzy body-horror odyssey in Cape Town                          ","This gleefully lurid, picaresque journey through a few days in Cape Town for an alien inhabiting the body of a skeevy junkie named Barry (Gary Green) won’t be everyone’s cup of tea. But scattered among the gross-out scenes – involving violence or bodily fluids or both, the bouts of softcore shagging, and innumerable garish “trippy” bits where the protagonist and his acquaintances do drugs – there’s actually some reasonably sharply comic, surprisingly touching and straight-up well-acted moments. Presumably, the key variables are the improvising performers that first-time director Ryan Kruger, fluffing up what was originally a short into feature length, collaborated with for each scene. Some, like Chanelle de Jager, who plays Barry’s longsuffering wife and is given to long profane rants in Afrikaans about Barry’s uselessness, have real acting chops and bring a palpable humanity to the absurdist setup. Similarly, Sean Cameron Michael and Joe Vaz as psychiatric hospital patients display great comic timing in their bit, and Jonathan Pienaar makes for a terrifyingly sadistic psychopath who performs impromptu dentistry on Barry. Lead actor Green, despite the fact that he apparently worked mostly as a stuntman and had non-speaking roles before this, also has a magnetic screen presence, even though he’s not exactly pretty enough to explain why every woman he meets wants to have sex with him. His improvisational skills are on the same par as the others, but that works just fine given he’s meant to be a broer from another planet. The film’s main failing is that it doesn’t seem to have very much to say about the society in which it’s set. Compared to other Candide-like satires, like O Lucky Man!, Lindsay Anderson’s rollicking adventure through early 1970s Britain, or Rolf de Heer’s marvellously bonkers Bad Boy Bubby from 1993, which romped through another southern hemisphere city in the shape of Adelaide, Fried Barry feels much more like a shaggy dog story without a point: random and meaningless. Or maybe that is the point? • Fried Barry is released on 7 May on Shudder. • This article was amended on 6 May 2021 to correct the name of the actor Jonathan Pienaar.",Fried Barry,FILM
